"데이터버전","분석단위","자치구명","법정동명","법정동코드8","면적구간","예산구간","거래건수","가격_중앙값_만원","가격_중앙값_억원","단가_중앙값_만원_m2","최소금액_만원","최대금액_만원","거래기간_시작","거래기간_끝","가격표본_신뢰도","GBD_시간분","YBD_시간분","CBD_시간분","3대도심_평균통근시간분","강남_광화문_평균통근시간분","강남_광화문_최장통근시간분","강남_여의도_평균통근시간분","강남_여의도_최장통근시간분","여의도_광화문_평균통근시간분","여의도_광화문_최장통근시간분","매핑_행정동수","통근자료_매핑수","통근자료상태","하락기_낙폭_%","저점대비_회복률_%","방어력_고점분기","방어력_저점분기","방어력_최근분기","유효분기수","방어력_거래건수합","현재고점_미검증","방어력상태","3040비중_%","3040_기준분기","통근점수","방어력점수","3040친화점수","유동성점수","통근점수_강남_광화문","통근점수_강남_여의도","통근점수_여의도_광화문","기존후보마스터_종합점수","기준_종합점수_검토용","최종_종합점수","통근우선_종합점수","방어우선_종합점수","시나리오점수_강남_광화문","시나리오점수_강남_여의도","시나리오점수_여의도_광화문","추천순위_예산면적내","통근우선순위_예산면적내","방어우선순위_예산면적내","강남_광화문_순위_예산면적내","강남_여의도_순위_예산면적내","여의도_광화문_순위_예산면적내","최종추천대상","추천상태","제외_주의사유","가격_산정기준","통근_산정기준","점수_가중치","참조기록","예산상한_억원","예산잔액_억원","가성비율_%","가성비순위_예산면적내","가성비점수","최종_안정성점수","안정성_출처","최종_종합점수_v2","추천상태_v2","최종추천대상_v2"
"v4.0_20260902","법정동×면적구간","양천구","신월동","11470103.0","59㎡급(55~65)","7억 이하","134","69905.0","6.99","1166.54085225646","23000","130000","20260101","20260822","충분(10건+)","76.9","46.5","66.1","63.2","71.5","76.9","61.7","76.9","56.3","66.1","7","7","검증완료_v2기준","-24.1","0.0","20254.0","20261.0","20261.0","21.0","2705.0","False","검증완료","26.39","20261","38.8","63.1","39.0","71.2","9.1","45.1","49.0","49.4","49.4","49.4","46.9","51.8","39.0","51.6","53.0","11.0","11.0","9.0","23.0","9.0","7.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","7.0","0.01","0.1","46","0.0","63.1","방어력(실측)","49.4","최종추천가능","True"
"v4.0_20260902","법정동×면적구간","노원구","공릉동","11350103.0","59㎡급(55~65)","7억 이하","212","62250.0","6.22","1024.64193214872","28500","103500","20260107","20260814","충분(10건+)","64.2","72.2","56.7","64.4","60.4","64.2","68.2","72.2","64.4","72.2","2","2","검증완료_v2기준","-26.6","49.5","20222.0","20224.0","20261.0","21.0","2838.0","False","검증완료","24.67","20261","35.9","59.2","35.0","78.9","36.5","32.2","33.6","46.7","47.0","47.0","44.7","49.3","47.2","45.7","46.2","12.0","13.0","13.0","10.0","15.0","18.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","7.0","0.78","11.1","32","30.0","59.2","방어력(실측)","47.0","최종추천가능","True"
"v4.0_20260902","법정동×면적구간","강서구","방화동","11500109.0","59㎡급(55~65)","7억 이하","109","65000.0","6.5","1097.95848344484","39000","94500","20260110","20260815","충분(10건+)","74.9","49.1","68.4","64.1","71.7","74.9","62.0","74.9","58.8","68.4","4","4","검증완료_v2기준","-33.1","80.3","20213.0","20223.0","20261.0","21.0","1869.0","False","검증완료","30.83","20261","36.4","49.1","49.5","67.7","8.7","44.5","44.3","47.3","46.6","46.6","44.7","47.2","36.9","49.4","49.4","14.0","14.0","16.0","25.0","12.0","11.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","7.0","0.5","7.1","34","25.6","49.1","방어력(실측)","46.6","최종추천가능","True"
"v4.0_20260902","법정동×면적구간","금천구","시흥동","11545103.0","59㎡급(55~65)","7억 이하","114","45500.0","4.55","759.53593718346","30000","90000","20260103","20260815","충분(10건+)","68.5","55.2","74.4","66.0","71.4","74.4","61.9","68.5","64.8","74.4","5","5","검증완료_v2기준","-23.1","60.7","20214.0","20232.0","20261.0","21.0","1661.0","False","검증완료","25.52","20261","31.8","64.6","37.0","68.5","9.3","44.8","32.9","46.8","46.6","46.6","43.1","49.6","38.7","51.2","47.0","13.0","16.0","12.0","24.0","10.0","14.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","7.0","2.45","35.0","9","82.2","64.6","방어력(실측)","46.6","최종추천가능","True"
"v4.0_20260902","법정동×면적구간","은평구","신사동","11380109.0","59㎡급(55~65)","7억 이하","60","54750.0","5.48","889.928703035372","38750","77500","20260110","20260822","충분(10건+)","78.8","53.8","55.8","62.8","67.3","78.8","66.4","78.8","54.8","55.8","2","2","검증완료_v2기준","-31.0","30.1","20221.0","20232.0","20261.0","21.0","716.0","False","검증완료","28.85","20261","39.6","52.3","44.8","57.7","19.5","35.8","51.9","46.3","46.5","46.5","45.0","47.5","39.5","45.2","50.8","15.0","12.0","15.0","21.0","16.0","8.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","7.0","1.52","21.7","18","61.1","52.3","방어력(실측)","46.5","최종추천가능","True"
"v4.0_20260902","법정동×면적구간","은평구","역촌동","11380108.0","59㎡급(55~65)","7억 이하","13","53500.0","5.35","838.295205264807","18000","90000","20260107","20260822","충분(10건+)","77.9","55.1","53.5","62.2","65.7","77.9","66.5","77.9","54.3","55.1","1","1","검증완료_v2기준","-28.4","22.2","20244.0","20253.0","20261.0","18.0","294.0","False","검증완료","28.5","20261","41.2","56.4","44.0","32.9","23.5","35.5","52.9","45.3","45.6","45.6","44.0","47.0","39.4","43.6","49.7","16.0","15.0","17.0","22.0","18.0","9.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","7.0","1.65","23.6","17","64.4","56.4","방어력(실측)","45.6","최종추천가능","True"
"v4.0_20260902","법정동×면적구간","구로구","고척동","11530106.0","59㎡급(55~65)","7억 이하","131","60000.0","6.0","1001.001001001","31000","120000","20260105","20260815","충분(10건+)","76.9","47.6","67.9","64.1","72.4","76.9","62.2","76.9","57.8","67.9","2","2","검증완료_v2기준","-32.2","56.8","20214.0","20223.0","20261.0","21.0","1287.0","False","검증완료","25.89","20261","36.4","50.5","37.9","70.8","6.8","44.0","46.2","45.1","44.4","44.4","43.0","45.8","34.1","47.1","47.9","17.0","17.0","19.0","26.0","14.0","13.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","7.0","1.0","14.3","28","37.8","50.5","방어력(실측)","44.4","최종추천가능","True"
"v4.0_20260902","법정동×면적구간","중랑구","망우동","11260105.0","59㎡급(55~65)","7억 이하","34","52650.0","5.26","881.024096385542","42000","88000","20260115","20260817","충분(10건+)","58.4","85.8","63.7","69.3","61.0","63.7","72.1","85.8","74.8","85.8","2","2","검증완료_v2기준","-17.0","0.0","20253.0","20261.0","20261.0","21.0","501.0","False","검증완료","25.0","20261","23.8","74.1","35.8","48.4","35.1","24.4","14.0","43.9","44.3","44.3","38.7","48.8","48.3","44.6","40.9","18.0","21.0","14.0","9.0","17.0","25.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","7.0","1.74","24.9","16","66.7","74.1","방어력(실측)","44.3","최종추천가능","True"
"v4.0_20260902","법정동×면적구간","도봉구","창동","11320107.0","59㎡급(55~65)","7억 이하","225","68000.0","6.8","1150.76717811875","27000","91800","20260103","20260823","충분(10건+)","77.0","75.4","56.3","69.6","66.6","77.0","76.2","77.0","65.8","75.4","5","5","검증완료_v2기준","-27.7","29.3","20221.0","20224.0","20261.0","21.0","3131.0","False","검증완료","27.18","20261","23.1","57.5","40.9","79.9","21.2","16.2","30.9","43.6","43.6","43.6","39.2","46.1","42.9","41.1","46.3","19.0","19.0","18.0","14.0","21.0","16.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","7.0","0.2","2.9","41","10.0","57.5","방어력(실측)","43.6","최종추천가능","True"
"v4.0_20260902","법정동×면적구간","중랑구","신내동","11260106.0","59㎡급(55~65)","7억 이하","141","54800.0","5.48","919.993978221233","31500","79000","20260101","20260819","충분(10건+)","65.0","79.0","61.2","68.4","63.1","65.0","72.0","79.0","70.1","79.0","2","2","검증완료_v2기준","-29.0","43.7","20214.0","20231.0","20261.0","21.0","2051.0","False","검증완료","26.26","20261","26.0","55.5","38.7","72.0","30.0","24.5","22.9","42.7","42.6","42.6","39.0","44.9","44.0","42.1","41.5","20.0","20.0","22.0","11.0","19.0","23.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","7.0","1.52","21.7","18","61.1","55.5","방어력(실측)","42.6","최종추천가능","True"
"v4.0_20260902","법정동×면적구간","강북구","번동","11305102.0","59㎡급(55~65)","7억 이하","52","47500.0","4.75","796.65422314394","30000","58500","20260117","20260822","충분(10건+)","76.9","74.5","55.0","68.8","66.0","76.9","75.7","76.9","64.8","74.5","3","3","검증완료_v2기준","-27.9","48.4","20233.0","20241.0","20261.0","19.0","833.0","False","검증완료","27.55","20261","24.9","57.2","41.8","55.4","22.8","17.1","32.9","41.9","41.9","41.9","37.8","44.2","41.1","39.1","44.7","21.0","22.0","23.0","17.0","25.0","20.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","7.0","2.25","32.1","10","80.0","57.2","방어력(실측)","41.9","최종추천가능","True"
"v4.0_20260902","법정동×면적구간","도봉구","쌍문동","11320105.0","59㎡급(55~65)","7억 이하","79","44800.0","4.48","758.377425044092","28500","66000","20260109","20260818","충분(10건+)","79.6","75.8","57.8","71.1","68.7","79.6","77.7","79.6","66.8","75.8","4","4","검증완료_v2기준","-24.1","19.2","20221.0","20234.0","20261.0","21.0","1448.0","False","검증완료","26.31","20261","19.3","63.1","38.8","62.3","15.9","13.1","29.1","41.8","41.6","41.6","36.3","45.0","40.4","39.4","45.0","22.0","25.0","21.0","20.0","24.0","19.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","7.0","2.52","36.0","7","86.7","63.1","방어력(실측)","41.6","최종추천가능","True"
"v4.0_20260902","법정동×면적구간","노원구","하계동","11350104.0","59㎡급(55~65)","7억 이하","72","65900.0","6.59","1127.13369471297","42000","88000","20260123","20260807","충분(10건+)","64.2","79.8","63.0","69.0","63.6","64.2","72.0","79.8","71.4","79.8","2","2","검증완료_v2기준","-23.4","36.9","20221.0","20232.0","20261.0","21.0","1738.0","False","검증완료","22.76","20261","24.4","64.2","30.5","60.8","28.6","24.5","20.3","41.3","41.5","41.5","37.2","45.2","43.0","41.5","40.1","23.0","23.0","20.0","13.0","20.0","27.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","7.0","0.41","5.9","36","22.2","64.2","방어력(실측)","41.5","최종추천가능","True"
"v4.0_20260902","법정동×면적구간","노원구","상계동","11350105.0","59㎡급(55~65)","7억 이하","743","60000.0","6.0","1024.79338842975","27310","103000","20260103","20260821","충분(10건+)","72.4","84.5","62.6","73.1","67.5","72.4","78.4","84.5","73.5","84.5","9","9","검증완료_v2기준","-29.5","41.4","20214.0","20244.0","20261.0","21.0","7176.0","False","검증완료","25.07","20261","14.3","54.7","35.9","100.0","19.1","11.7","16.3","40.6","40.4","40.4","35.3","43.4","42.1","39.5","41.1","24.0","26.0","24.0","16.0","22.0","24.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","7.0","1.0","14.3","28","37.8","54.7","방어력(실측)","40.4","최종추천가능","True"
"v4.0_20260902","법정동×면적구간","성북구","정릉동","11290133.0","59㎡급(55~65)","7억 이하","206","62250.0","6.22","1041.85770893772","35000","90000","20260102","20260822","충분(10건+)","69.4","69.3","46.7","61.8","58.1","69.4","69.4","69.4","58.0","69.3","4","4","검증완료_v2기준","-45.0","15.2","20224.0","20232.0","20261.0","21.0","2097.0","False","검증완료","24.56","20261","42.1","30.5","34.7","78.4","42.4","29.8","45.8","39.7","40.4","40.4","41.9","39.6","40.5","36.1","41.7","25.0","18.0","26.0","19.0","26.0","22.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","7.0","0.78","11.1","32","30.0","30.5","방어력(실측)","40.4","최종추천가능","True"
"v4.0_20260902","법정동×면적구간","노원구","중계동","11350106.0","59㎡급(55~65)","7억 이하","170","66500.0","6.65","1118.74514413475","44000","90000","20260103","20260810","충분(10건+)","73.4","85.0","65.9","74.8","69.7","73.4","79.2","85.0","75.4","85.0","4","4","검증완료_v2기준","-25.5","38.5","20214.0","20224.0","20261.0","21.0","3951.0","False","검증완료","27.16","20261","10.3","60.9","40.8","75.2","13.6","10.1","12.7","39.7","39.6","39.6","33.0","43.1","40.8","39.5","40.4","26.0","27.0","25.0","18.0","23.0","26.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","7.0","0.35","5.0","39","15.6","60.9","방어력(실측)","39.6","최종추천가능","True"
